# INT8 calibration set for docs/05 (PTQ)
# source_split: /home/zcemml1/medtronic_qat_data/datasets/sanoscience_yolo_full_nonexpert_stereo/images/train
# n_episodes: 500   one frame per episode
# seed: 42
# set_sha256: ce7774ec1ff18953f1775a53d31ad97384327d1247005106318b2ba96eb26d5a
# disjoint from val and val100 at BOTH frame and episode level
# columns: episode	frame	sha256
episode_000001	episode_000001_left_00012.jpg	9decdbb5ae800c4798c622f777a9f29de7901202d8392955656fd8923aa366b1
episode_000002	episode_000002_left_00060.jpg	e2543081560ff59bb2393500b3fbc2a239849f216758a80fc9941b4e25224993
episode_000003	episode_000003_left_00060.jpg	8f597529fc5123935d66affd0cfd78d8a5aa7f28458e4b964a2c86003bef93f3
episode_000007	episode_000007_left_00018.jpg	b47e57998abe8ab98d129df475c77ba24439fbcb178ee6c65fdb2aadea25c350
episode_000009	episode_000009_left_00054.jpg	b85ad2e81334ab8e139d7b0aba7815f677e9ef0d029dd8a033d066f205933bc6
episode_000010	episode_000010_left_00060.jpg	a6f0ad40ff4bc42e732dab2c515cfeb49b0801b820ae24527c4ffdb132a18a9e
episode_000015	episode_000015_left_00054.jpg	896d62b10a92114eec6aeaf91dd664b259b5bbfa1768569246a847dead1dfaaf
episode_000016	episode_000016_left_00066.jpg	3d3a902c0f5f7088fc44ec598ea60d46b12c828fb3a30d8a6fb4ff3939b52307
episode_000018	episode_000018_left_00036.jpg	b2c055cf6bfc9a58650b1e1205da3bb87b22bf03c49d861db9afc0de9715bdaf
episode_000030	episode_000030_left_00030.jpg	ed914d2841b04d42b4c242e86f12920004c30f0682ac4a7460cf1d08be611538
episode_000031	episode_000031_left_00036.jpg	0bc9fddae30af455ac90ad4dd90a4c896c8100aebe8f6b34060b219d55ab725a
episode_000032	episode_000032_left_00066.jpg	9b31510eee5b93798046a6951eb42beb4096a97a69b8f95aa8ccf28743ae23b1
episode_000037	episode_000037_left_00054.jpg	0629d8a15cb554224e234241abc64f8b0fcf1c3c95373860782e4586350057ac
episode_000045	episode_000045_left_00078.jpg	7ecd6a93faaea437b4ecaf0a94f426902af2fc79052ef4b71553436c8148f463
episode_000048	episode_000048_left_00024.jpg	b0bd5a7ba010b5ce5c849a575b9f421d436aa29e5467dca9b696ab11fd5a2307
